numid,vlanid,name,ipnet,mask,gateway,ip,cidr,size,ipnum
29,4000,DMZ_PUB,172.18.130.0/25,255.255.255.128,172.18.130.126,172.18.130.0,25,128,2886894080
29,2200,TOIP,172.18.130.128/26,255.255.255.192,172.18.130.190,172.18.130.128,26,64,2886894208
29,5300,IMPRESSION,172.18.130.192/26,255.255.255.192,172.18.130.254,172.18.130.192,26,64,2886894272
29,1500,PROD,172.18.131.0/25,255.255.255.128,172.18.131.126,172.18.131.0,25,128,2886894336
29,900,TEST,172.18.131.128/25,255.255.255.128,172.18.131.254,172.18.131.128,25,128,2886894464
30,302,INFRA,10.50.54.0/24,255.255.255.0,10.50.54.1,10.50.54.0,24,256,171062784
30,5000,DMZ,172.18.132.0/23,255.255.254.0,172.18.133.254,172.18.132.0,23,512,2886894592
30,4000,DMZ_PUB,172.18.134.0/25,255.255.255.128,172.18.134.126,172.18.134.0,25,128,2886895104
30,2200,TOIP,172.18.134.128/26,255.255.255.192,172.18.134.190,172.18.134.128,26,64,2886895232
30,5300,IMPRESSION,172.18.134.192/26,255.255.255.192,172.18.134.254,172.18.134.192,26,64,2886895296
30,1500,PROD,172.18.135.0/25,255.255.255.128,172.18.135.126,172.18.135.0,25,128,2886895360
30,900,TEST,172.18.135.128/25,255.255.255.128,172.18.135.254,172.18.135.128,25,128,2886895488
31,312,INFRA,10.50.36.0/24,255.255.255.0,10.50.36.1,10.50.36.0,24,256,171058176
31,5000,DMZ,172.18.136.0/23,255.255.254.0,172.18.137.254,172.18.136.0,23,512,2886895616
31,4000,DMZ_PUB,172.18.138.0/25,255.255.255.128,172.18.138.126,172.18.138.0,25,128,2886896128
31,2200,TOIP,172.18.138.128/26,255.255.255.192,172.18.138.190,172.18.138.128,26,64,2886896256
31,5300,IMPRESSION,172.18.138.192/26,255.255.255.192,172.18.138.254,172.18.138.192,26,64,2886896320
31,1500,PROD,172.18.139.0/25,255.255.255.128,172.18.139.126,172.18.139.0,25,128,2886896384
31,900,TEST,172.18.139.128/25,255.255.255.128,172.18.139.254,172.18.139.128,25,128,2886896512
32,322,INFRA,10.50.39.0/24,255.255.255.0,10.50.39.1,10.50.39.0,24,256,171058944
32,5000,DMZ,172.18.140.0/23,255.255.254.0,172.18.141.254,172.18.140.0,23,512,2886896640
32,4000,DMZ_PUB,172.18.142.0/25,255.255.255.128,172.18.142.126,172.18.142.0,25,128,2886897152
32,2200,TOIP,172.18.142.128/26,255.255.255.192,172.18.142.190,172.18.142.128,26,64,2886897280
32,5300,IMPRESSION,172.18.142.192/26,255.255.255.192,172.18.142.254,172.18.142.192,26,64,2886897344
32,1500,PROD,172.18.143.0/25,255.255.255.128,172.18.143.126,172.18.143.0,25,128,2886897408
32,900,TEST,172.18.143.128/25,255.255.255.128,172.18.143.254,172.18.143.128,25,128,2886897536
33,332,INFRA,10.50.71.0/24,255.255.255.0,10.50.71.1,10.50.71.0,24,256,171067136
33,5000,DMZ,172.18.144.0/23,255.255.254.0,172.18.145.254,172.18.144.0,23,512,2886897664
33,4000,DMZ_PUB,172.18.146.0/25,255.255.255.128,172.18.146.126,172.18.146.0,25,128,2886898176
33,2200,TOIP,172.18.146.128/26,255.255.255.192,172.18.146.190,172.18.146.128,26,64,2886898304
33,5300,IMPRESSION,172.18.146.192/26,255.255.255.192,172.18.146.254,172.18.146.192,26,64,2886898368
33,1500,PROD,172.18.147.0/25,255.255.255.128,172.18.147.126,172.18.147.0,25,128,2886898432
33,900,TEST,172.18.147.128/25,255.255.255.128,172.18.147.254,172.18.147.128,25,128,2886898560
